2020-02-19/16:38:34		 creditCardFraud_021119920_010222.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011977_120227.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011978_120228.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011979_120229.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011980_120230.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011981_120231.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011982_120232.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011983_120233.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011984_120234.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011985_120235.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011986_120236.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011987_120237.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011988_120238.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011989_120239.csv: Quotes added successfully!!
2021-04-13/18:25:46		 creditCardFraud_28011990_120240.csv: Quotes added successfully!!
2021-04-13/18:28:46		 creditCardFraud_28011960_120210.csv: Quotes added successfully!!
2021-04-13/18:28:46		 creditCardFraud_28011961_120211.csv: Quotes added successfully!!
2021-04-13/18:28:46		 creditCardFraud_28011962_120212.csv: Quotes added successfully!!
2021-04-13/18:28:46		 creditCardFraud_28011963_120213.csv: Quotes added successfully!!
2021-04-13/18:28:46		 creditCardFraud_28011964_120214.csv: Quotes added successfully!!
2021-04-13/18:28:46		 creditCardFraud_28011965_120215.csv: Quotes added successfully!!
2021-04-13/18:28:46		 creditCardFraud_28011966_120216.csv: Quotes added successfully!!
2021-04-13/18:28:46		 creditCardFraud_28011967_120217.csv: Quotes added successfully!!
2021-04-13/18:28:46		 creditCardFraud_28011968_120218.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011969_120219.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011970_120220.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011971_120221.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011972_120222.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011973_120223.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011974_120224.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011975_120225.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011976_120226.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011977_120227.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011978_120228.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011979_120229.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011980_120230.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011981_120231.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011982_120232.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011983_120233.csv: Quotes added successfully!!
2021-04-13/18:28:47		 creditCardFraud_28011984_120234.csv: Quotes added successfully!!
2021-04-13/18:28:48		 creditCardFraud_28011985_120235.csv: Quotes added successfully!!
2021-04-13/18:28:48		 creditCardFraud_28011986_120236.csv: Quotes added successfully!!
2021-04-13/18:28:48		 creditCardFraud_28011987_120237.csv: Quotes added successfully!!
2021-04-13/18:28:48		 creditCardFraud_28011988_120238.csv: Quotes added successfully!!
2021-04-13/18:28:48		 creditCardFraud_28011989_120239.csv: Quotes added successfully!!
2021-04-13/18:28:48		 creditCardFraud_28011990_120240.csv: Quotes added successfully!!
2021-04-13/18:54:37		 creditCardFraud_28011960_120210.csv: Quotes added successfully!!
2021-04-13/18:54:37		 creditCardFraud_28011961_120211.csv: Quotes added successfully!!
2021-04-13/18:54:37		 creditCardFraud_28011962_120212.csv: Quotes added successfully!!
2021-04-13/18:54:37		 creditCardFraud_28011963_120213.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011964_120214.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011965_120215.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011966_120216.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011967_120217.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011968_120218.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011969_120219.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011970_120220.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011971_120221.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011972_120222.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011973_120223.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011974_120224.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011975_120225.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011976_120226.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011977_120227.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011978_120228.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011979_120229.csv: Quotes added successfully!!
2021-04-13/18:54:38		 creditCardFraud_28011980_120230.csv: Quotes added successfully!!
2021-04-13/18:54:39		 creditCardFraud_28011981_120231.csv: Quotes added successfully!!
2021-04-13/18:54:39		 creditCardFraud_28011982_120232.csv: Quotes added successfully!!
2021-04-13/18:54:39		 creditCardFraud_28011983_120233.csv: Quotes added successfully!!
2021-04-13/18:54:39		 creditCardFraud_28011984_120234.csv: Quotes added successfully!!
2021-04-13/18:54:39		 creditCardFraud_28011985_120235.csv: Quotes added successfully!!
2021-04-13/18:54:39		 creditCardFraud_28011986_120236.csv: Quotes added successfully!!
2021-04-13/18:54:39		 creditCardFraud_28011987_120237.csv: Quotes added successfully!!
2021-04-13/18:54:39		 creditCardFraud_28011988_120238.csv: Quotes added successfully!!
2021-04-13/18:54:39		 creditCardFraud_28011989_120239.csv: Quotes added successfully!!
2021-04-13/18:54:39		 creditCardFraud_28011990_120240.csv: Quotes added successfully!!
2021-04-13/18:58:27		 creditCardFraud_28011960_120210.csv: Quotes added successfully!!
2021-04-13/18:58:27		 creditCardFraud_28011961_120211.csv: Quotes added successfully!!
2021-04-13/18:58:27		 creditCardFraud_28011962_120212.csv: Quotes added successfully!!
2021-04-13/18:58:27		 creditCardFraud_28011963_120213.csv: Quotes added successfully!!
2021-04-13/18:58:27		 creditCardFraud_28011964_120214.csv: Quotes added successfully!!
2021-04-13/18:58:27		 creditCardFraud_28011965_120215.csv: Quotes added successfully!!
2021-04-13/18:58:27		 creditCardFraud_28011966_120216.csv: Quotes added successfully!!
2021-04-13/18:58:27		 creditCardFraud_28011967_120217.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011968_120218.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011969_120219.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011970_120220.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011971_120221.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011972_120222.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011973_120223.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011974_120224.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011975_120225.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011976_120226.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011977_120227.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011978_120228.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011979_120229.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011980_120230.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011981_120231.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011982_120232.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011983_120233.csv: Quotes added successfully!!
2021-04-13/18:58:28		 creditCardFraud_28011984_120234.csv: Quotes added successfully!!
2021-04-13/18:58:29		 creditCardFraud_28011985_120235.csv: Quotes added successfully!!
2021-04-13/18:58:29		 creditCardFraud_28011986_120236.csv: Quotes added successfully!!
2021-04-13/18:58:29		 creditCardFraud_28011987_120237.csv: Quotes added successfully!!
2021-04-13/18:58:29		 creditCardFraud_28011988_120238.csv: Quotes added successfully!!
2021-04-13/18:58:29		 creditCardFraud_28011989_120239.csv: Quotes added successfully!!
2021-04-13/18:58:29		 creditCardFraud_28011990_120240.csv: Quotes added successfully!!
2021-05-19/17:49:08		 creditCardFraud_28011960_120210.csv: Quotes added successfully!!
2021-05-19/17:49:08		 creditCardFraud_28011961_120211.csv: Quotes added successfully!!
2021-05-19/17:49:08		 creditCardFraud_28011962_120212.csv: Quotes added successfully!!
2021-05-19/17:49:08		 creditCardFraud_28011963_120213.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011964_120214.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011965_120215.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011966_120216.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011967_120217.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011968_120218.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011969_120219.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011970_120220.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011971_120221.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011972_120222.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011973_120223.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011974_120224.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011975_120225.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011976_120226.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011977_120227.csv: Quotes added successfully!!
2021-05-19/17:49:09		 creditCardFraud_28011978_120228.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011979_120229.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011980_120230.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011981_120231.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011982_120232.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011983_120233.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011984_120234.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011985_120235.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011986_120236.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011987_120237.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011988_120238.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011989_120239.csv: Quotes added successfully!!
2021-05-19/17:49:10		 creditCardFraud_28011990_120240.csv: Quotes added successfully!!
2021-05-19/17:57:05		 creditCardFraud_28011960_120210.csv: Quotes added successfully!!
2021-05-19/17:57:05		 creditCardFraud_28011961_120211.csv: Quotes added successfully!!
2021-05-19/17:57:05		 creditCardFraud_28011962_120212.csv: Quotes added successfully!!
2021-05-19/17:57:05		 creditCardFraud_28011963_120213.csv: Quotes added successfully!!
2021-05-20/00:03:55		 creditCardFraud_28011960_120210.csv: Quotes added successfully!!
2021-05-20/00:03:55		 creditCardFraud_28011961_120211.csv: Quotes added successfully!!
2021-05-20/00:03:55		 creditCardFraud_28011962_120212.csv: Quotes added successfully!!
2021-05-20/00:03:55		 creditCardFraud_28011963_120213.csv: Quotes added successfully!!
2021-05-20/00:03:55		 creditCardFraud_28011964_120214.csv: Quotes added successfully!!
2021-05-20/00:03:55		 creditCardFraud_28011965_120215.csv: Quotes added successfully!!
2021-05-20/00:03:56		 creditCardFraud_28011966_120216.csv: Quotes added successfully!!
2021-05-20/00:03:56		 creditCardFraud_28011967_120217.csv: Quotes added successfully!!
2021-05-20/00:03:56		 creditCardFraud_28011968_120218.csv: Quotes added successfully!!
2021-05-20/00:03:56		 creditCardFraud_28011969_120219.csv: Quotes added successfully!!
2021-05-20/00:03:56		 creditCardFraud_28011970_120220.csv: Quotes added successfully!!
2021-05-20/00:03:56		 creditCardFraud_28011971_120221.csv: Quotes added successfully!!
2021-05-20/00:03:56		 creditCardFraud_28011972_120222.csv: Quotes added successfully!!
2021-05-20/00:03:56		 creditCardFraud_28011973_120223.csv: Quotes added successfully!!
2021-05-20/00:03:56		 creditCardFraud_28011974_120224.csv: Quotes added successfully!!
2021-05-20/00:03:56		 creditCardFraud_28011975_120225.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011976_120226.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011977_120227.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011978_120228.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011979_120229.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011980_120230.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011981_120231.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011982_120232.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011983_120233.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011984_120234.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011985_120235.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011986_120236.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011987_120237.csv: Quotes added successfully!!
2021-05-20/00:03:57		 creditCardFraud_28011988_120238.csv: Quotes added successfully!!
2021-05-20/00:03:58		 creditCardFraud_28011989_120239.csv: Quotes added successfully!!
2021-05-20/00:03:58		 creditCardFraud_28011990_120240.csv: Quotes added successfully!!
2021-05-20/00:14:15		 creditCardFraud_28011960_120210.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011961_120211.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011962_120212.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011963_120213.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011964_120214.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011965_120215.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011966_120216.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011967_120217.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011968_120218.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011969_120219.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011970_120220.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011971_120221.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011972_120222.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011973_120223.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011974_120224.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011975_120225.csv: Quotes added successfully!!
2021-05-20/00:14:16		 creditCardFraud_28011976_120226.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011977_120227.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011978_120228.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011979_120229.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011980_120230.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011981_120231.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011982_120232.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011983_120233.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011984_120234.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011985_120235.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011986_120236.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011987_120237.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011988_120238.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011989_120239.csv: Quotes added successfully!!
2021-05-20/00:14:17		 creditCardFraud_28011990_120240.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011960_120210.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011961_120211.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011962_120212.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011963_120213.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011964_120214.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011965_120215.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011966_120216.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011967_120217.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011968_120218.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011969_120219.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011970_120220.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011971_120221.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011972_120222.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011973_120223.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011974_120224.csv: Quotes added successfully!!
2021-05-20/02:23:25		 creditCardFraud_28011975_120225.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011976_120226.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011977_120227.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011978_120228.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011979_120229.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011980_120230.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011981_120231.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011982_120232.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011983_120233.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011984_120234.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011985_120235.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011986_120236.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011987_120237.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011988_120238.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011989_120239.csv: Quotes added successfully!!
2021-05-20/02:23:26		 creditCardFraud_28011990_120240.csv: Quotes added successfully!!
2021-05-20/07:20:08		 creditCardFraud_28011960_120210.csv: Quotes added successfully!!
2021-05-20/07:20:08		 creditCardFraud_28011961_120211.csv: Quotes added successfully!!
